model,MAE,RMSE,NLL,ECE,PICP_95,MPIW_95,params_M,latency_ms,loso_gap,Category,Display Name,MSE ($K^2$),MAE (K),RMSE (K),PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%),n_folds,mae_mean,mae_std,mae_sem,mae_ci95,rmse_mean,rmse_std,rmse_sem,rmse_ci95,field_mae_mean,field_mae_std,field_mae_sem,field_mae_ci95,field_rmse_mean,field_rmse_std,field_rmse_sem,field_rmse_ci95
comprehensive_results,,,,,,,,,,Other,physicscnnlstm (Masked),582.8975219726562,19.12886619567871,24.143270738917217,,,4.201466221232368,7.846139569413511,18.08416852264291,,,,,,,,,,,,,,,,,
comprehensive_results,,,29.033472061157227,,,,,,,Other,BayesianCNNLSTM,889.0357666015625,28.544137954711918,29.81670188903809,0.03,16.25140953063965,,,,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Other,pretrainedcnnlstm (Masked),1339.78271484375,32.24432373046875,36.60304242605729,,,0.9651076466221232,2.208611729769859,5.725686711210097,,,,,,,,,,,,,,,,,
comprehensive_results,,,136107706548224.0,,,,,,,Other,best,1372.850341796875,37.051544189453125,37.05199432373047,0.0,1.8032262232736684e-05,,,,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Other,simpleresnet (Masked),1648.4337158203125,35.57941436767578,40.60090782014994,,,0.714550853749072,1.6889383815887158,4.992576095025983,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Spatial,Spatial Bioheat,3.570359945297241,1.241840362548828,1.8895396119947423,,,48.86162996004089,63.4606449214757,99.7676795836818,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Spatial,Spatial Metabolic,4.035501956939697,1.02721107006073,2.008855882570897,,,53.39652448657189,87.18520583588885,99.6654586005018,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Spatial,Simple ResNet,635.133544921875,20.535066604614254,25.201855981690613,,,1.271343726800297,2.347809948032665,5.79064587973274,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Spatial,Spatial Convection,2861.193359375,50.28260803222656,53.49012394241576,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
comprehensive_results,,,,,,,,,,Temporal,Convection Bioheat,0.383557915687561,0.2411644011735916,0.6193205274230469,,,96.14348108911813,99.19152495121271,99.83272930025092,,,,,,,,,,,,,,,,,
