fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,48.07660789105132,55.585559220773476,,,BayesianCNNLSTM
US_002_30W_10min,18.666472890899367,25.083451456849073,,,BayesianCNNLSTM
US_003_30W_10min,18.00743452497109,21.906363508186132,,,BayesianCNNLSTM
US_004_30W_10min,34.32630214472293,38.50261371058749,,,BayesianCNNLSTM
US_005_30W_10min,30.67163614920754,37.06642882560619,,,BayesianCNNLSTM
US_006_30W_10min,23.563372979189623,29.26678746712091,,,BayesianCNNLSTM
US_007_30W_10min,21.49128322792478,25.038755493189164,,,BayesianCNNLSTM
US_008_30W_10min,19.54500831639703,22.582845481677207,,,BayesianCNNLSTM
US_009_30W_10min,21.124071145216977,23.051759833623198,,,BayesianCNNLSTM
US_010_25W_5min,30.308043883543945,33.77348992689999,,,BayesianCNNLSTM
US_011_30W_5min,17.534832878044917,21.415381061055257,,,BayesianCNNLSTM
US_012_35W_5min,33.700522879909656,39.32666147332926,,,BayesianCNNLSTM
US_013_40W_5min,20.68799782117632,26.238742230015152,,,BayesianCNNLSTM
US_014_45W_5min,21.08833634572184,26.17432059894723,,,BayesianCNNLSTM
US_015_50W_5min,26.454293185252318,32.12932301966546,,,BayesianCNNLSTM
