fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,82.96683726484976,88.60208313350816,,,BayesianResNet
US_002_30W_10min,102.22531923005435,106.9477666422441,,,BayesianResNet
US_003_30W_10min,18.000798639845115,20.70477423535978,,,BayesianResNet
US_004_30W_10min,26.562174187837012,28.55235684645337,,,BayesianResNet
US_005_30W_10min,237.01442126581802,240.48531258019108,,,BayesianResNet
US_006_30W_10min,18.294229637174045,23.355915221912117,,,BayesianResNet
US_007_30W_10min,91.08726292442373,115.73533185081192,,,BayesianResNet
US_008_30W_10min,80.74113022983606,86.73373368668759,,,BayesianResNet
US_009_30W_10min,21.464235051118983,27.460611534564123,,,BayesianResNet
US_010_25W_5min,34.968099403338904,41.265631448945086,,,BayesianResNet
US_011_30W_5min,23.28187640493875,29.07949722444446,,,BayesianResNet
US_012_35W_5min,23.92319437555336,28.62376877337261,,,BayesianResNet
US_013_40W_5min,13.65180972803419,16.713348451442823,,,BayesianResNet
US_014_45W_5min,23.37706957321778,27.681311159842604,,,BayesianResNet
US_015_50W_5min,39.700943311055504,46.885330326849775,,,BayesianResNet
