fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,33.131665337425716,35.46687896054369,,,CNNLSTM
US_002_30W_10min,13.578957536955413,16.559992511410403,,,CNNLSTM
US_003_30W_10min,20.541278906289456,23.919046024876245,,,CNNLSTM
US_004_30W_10min,14.812767025408686,18.330791392082965,,,CNNLSTM
US_005_30W_10min,27.994315997802,30.035553737238747,,,CNNLSTM
US_006_30W_10min,20.32820270097617,22.653128392340946,,,CNNLSTM
US_007_30W_10min,28.87844799770279,32.5185740005756,,,CNNLSTM
US_008_30W_10min,40.17299471203231,44.325857227161464,,,CNNLSTM
US_009_30W_10min,33.35814343656357,38.96156100475282,,,CNNLSTM
US_010_25W_5min,14.602463482431055,17.410285534046377,,,CNNLSTM
US_011_30W_5min,25.10511858013601,31.631463388465495,,,CNNLSTM
US_012_35W_5min,14.970510611909397,19.72698800621551,,,CNNLSTM
US_013_40W_5min,19.80812057517187,23.1938507775321,,,CNNLSTM
US_014_45W_5min,21.175905269466615,24.8436012119174,,,CNNLSTM
US_015_50W_5min,27.128489240732094,29.215690308817248,,,CNNLSTM
