fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,15.235504571129294,15.601765455130096,9.254086908747372,16.808180558027342,ConvLTC
US_002_30W_10min,76.57109725982754,77.74040203516363,7.663777523916676,14.350635427704413,ConvLTC
US_003_30W_10min,40.69116681141881,41.44781915069298,17.86813300575823,34.70208343918307,ConvLTC
US_004_30W_10min,79.3887397779713,79.57501699973618,14.01746652025914,26.483548278571106,ConvLTC
US_005_30W_10min,88.08692553209112,88.63101542542687,15.357553217929098,28.55344444463198,ConvLTC
US_006_30W_10min,122.83692410752947,124.08457909691418,15.897763311707424,28.980686409406616,ConvLTC
US_007_30W_10min,137.11699570823617,138.40267594190388,19.854500988034307,38.50617559557833,ConvLTC
US_008_30W_10min,128.47469262175807,130.63951859509845,23.263824754414944,45.162094566058435,ConvLTC
US_009_30W_10min,66.88486853601673,68.72231783047255,1.061875151787275,2.348625388639706,ConvLTC
US_010_25W_5min,147.55319083824548,148.456014030672,22.515044628147777,43.97241346755458,ConvLTC
US_011_30W_5min,91.84109973398392,93.1561189035569,9.679840259502047,18.20516105645825,ConvLTC
US_012_35W_5min,138.13656942554982,139.15809796522765,19.216796329079905,36.249622235102706,ConvLTC
US_013_40W_5min,90.01480958851168,91.45162573392585,9.033633982679813,16.108993696817926,ConvLTC
US_014_45W_5min,122.63833245012991,124.1481280115149,13.924422906649568,25.158305216505376,ConvLTC
US_015_50W_5min,111.70198456509993,113.26179700096715,10.074842354727105,18.613913171820187,ConvLTC
