fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,42.20938235531941,47.12310284956421,,,FullBayesianResNet
US_002_30W_10min,32.29240907697123,39.422805945866145,,,FullBayesianResNet
US_003_30W_10min,34.2234176379785,38.044423801163546,,,FullBayesianResNet
US_004_30W_10min,29.057658728431253,32.92963814962164,,,FullBayesianResNet
US_005_30W_10min,25.01870858626782,29.31750805412076,,,FullBayesianResNet
US_006_30W_10min,21.17494551032622,27.633880854375267,,,FullBayesianResNet
US_007_30W_10min,17.768703110127777,21.905312721695783,,,FullBayesianResNet
US_008_30W_10min,14.831609930902879,18.413303780339696,,,FullBayesianResNet
US_009_30W_10min,15.251431053518452,18.034240574622313,,,FullBayesianResNet
US_010_25W_5min,18.568696283689327,22.569271720442835,,,FullBayesianResNet
US_011_30W_5min,121.85754478529255,125.49004945812803,,,FullBayesianResNet
US_012_35W_5min,39.95624387778405,44.27567644033819,,,FullBayesianResNet
US_013_40W_5min,27.019840829999488,32.36990345623529,,,FullBayesianResNet
US_014_45W_5min,13.533512311136665,17.88798913610218,,,FullBayesianResNet
US_015_50W_5min,28.559324111522542,34.80081969721497,,,FullBayesianResNet
