fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,65.34822075400973,71.9758905803142,,,KANResNet
US_002_30W_10min,1321.3871013113403,1322.8180569335173,,,KANResNet
US_003_30W_10min,36.26431441168885,39.85464173499525,,,KANResNet
US_004_30W_10min,37.128760927926194,38.95162210505852,,,KANResNet
US_005_30W_10min,648.6469010728779,652.9204961385354,,,KANResNet
US_006_30W_10min,6811.555091626717,6843.871298147086,,,KANResNet
US_007_30W_10min,16.419855150719794,20.01571937416781,,,KANResNet
US_008_30W_10min,630.0239409618412,635.9921727054416,,,KANResNet
US_009_30W_10min,837.3618140902445,842.315474461812,,,KANResNet
US_010_25W_5min,39.858218861093086,43.09253913867469,,,KANResNet
US_011_30W_5min,33.64411548660319,38.58231292230398,,,KANResNet
US_012_35W_5min,173.19776860190902,173.889753349363,,,KANResNet
US_013_40W_5min,16034.026663589648,16118.697989802802,,,KANResNet
US_014_45W_5min,603.8608489365487,605.8637090473862,,,KANResNet
US_015_50W_5min,23091.688404852302,23320.94513455233,,,KANResNet
