fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,52.05610537146502,59.975516481418815,,,PhysicsCNNLSTM
US_002_30W_10min,43.23144073435318,46.81982517943537,,,PhysicsCNNLSTM
US_003_30W_10min,45.99416645945474,48.44126294088843,,,PhysicsCNNLSTM
US_004_30W_10min,50.832370168916256,53.32300676026401,,,PhysicsCNNLSTM
US_005_30W_10min,48.75455170327967,55.74272166734951,,,PhysicsCNNLSTM
US_006_30W_10min,33.52570576315045,38.23836155545394,,,PhysicsCNNLSTM
US_007_30W_10min,20.719222246989908,27.718180476569103,,,PhysicsCNNLSTM
US_008_30W_10min,12.786811545889645,17.309397003126428,,,PhysicsCNNLSTM
US_009_30W_10min,15.072174535509207,21.557630742808463,,,PhysicsCNNLSTM
US_010_25W_5min,41.38978324893532,47.35299260512875,,,PhysicsCNNLSTM
US_011_30W_5min,39.00045965447545,42.31031024211439,,,PhysicsCNNLSTM
US_012_35W_5min,51.688840031570834,56.682291401596004,,,PhysicsCNNLSTM
US_013_40W_5min,23.85236832381462,31.205168037483105,,,PhysicsCNNLSTM
US_014_45W_5min,14.75941305453373,20.14175582537048,,,PhysicsCNNLSTM
US_015_50W_5min,26.596180212142258,34.43948655377529,,,PhysicsCNNLSTM
