fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,53.895338165568795,61.67652605254879,,,PretrainedCNNLSTM
US_002_30W_10min,39.94364002453928,43.43955989142456,,,PretrainedCNNLSTM
US_003_30W_10min,44.87315276091087,49.46969903438531,,,PretrainedCNNLSTM
US_004_30W_10min,46.101421096533166,47.45045779198898,,,PretrainedCNNLSTM
US_005_30W_10min,24.2320265360907,29.262873209945397,,,PretrainedCNNLSTM
US_006_30W_10min,19.17001833412099,24.308522157670712,,,PretrainedCNNLSTM
US_007_30W_10min,34.09875554794193,39.008123080314526,,,PretrainedCNNLSTM
US_008_30W_10min,11.632711269957497,15.194168245641393,,,PretrainedCNNLSTM
US_009_30W_10min,40.934033569195755,46.30281773806843,,,PretrainedCNNLSTM
US_010_25W_5min,35.869529164734026,39.101095679942404,,,PretrainedCNNLSTM
US_011_30W_5min,26.3508004815553,31.075704363616616,,,PretrainedCNNLSTM
US_012_35W_5min,33.003198760199304,39.297571652112154,,,PretrainedCNNLSTM
US_013_40W_5min,21.367610195874637,27.13276046303815,,,PretrainedCNNLSTM
US_014_45W_5min,22.03465971078775,27.94712021610959,,,PretrainedCNNLSTM
US_015_50W_5min,28.032081274440888,32.66445818425826,,,PretrainedCNNLSTM
