fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,39.852331120912616,41.114176645387204,,,SimpleResNet
US_002_30W_10min,25.95950067720781,28.666023417408148,,,SimpleResNet
US_003_30W_10min,17.89190304311216,21.442065040438404,,,SimpleResNet
US_004_30W_10min,22.09798780078344,27.134660313717422,,,SimpleResNet
US_005_30W_10min,18.2943347549056,21.662729582160363,,,SimpleResNet
US_006_30W_10min,13.777471141222327,17.038382870610462,,,SimpleResNet
US_007_30W_10min,29.705179913909504,32.916070745394016,,,SimpleResNet
US_008_30W_10min,41.325107099272564,43.48523833896306,,,SimpleResNet
US_009_30W_10min,34.49360507240805,37.093464700012305,,,SimpleResNet
US_010_25W_5min,14.973295667089777,17.880694928825285,,,SimpleResNet
US_011_30W_5min,17.335573781215423,20.852829200410376,,,SimpleResNet
US_012_35W_5min,25.32024091612026,29.913776773772394,,,SimpleResNet
US_013_40W_5min,21.94281619975553,25.70481099870414,,,SimpleResNet
US_014_45W_5min,46.390692736341734,61.76861077879242,,,SimpleResNet
US_015_50W_5min,30.63002731368231,37.42335817551939,,,SimpleResNet
