fold,mae,rmse,field_mae,field_rmse,model
US_001_30W_10min,45.22051377474943,45.266536060224006,45.219408208807515,46.114056772503794,SpatialResNet
US_002_30W_10min,15.551151143433868,16.89544321462087,44.36905677266219,45.80819815079383,SpatialResNet
US_003_30W_10min,23.899872468190697,26.360755993655165,50.3924351906597,51.18205442626701,SpatialResNet
US_004_30W_10min,28.433225845908098,29.314409097353273,54.276729864604896,55.86820039646909,SpatialResNet
US_005_30W_10min,33.64508495058818,34.60934727535283,59.091614763550844,61.00146438523191,SpatialResNet
US_006_30W_10min,12.77900874933457,14.658262017072742,71.36046740461514,76.26191896030087,SpatialResNet
US_007_30W_10min,32.07932180476879,36.766426569023814,97.00311965167838,97.67148952593391,SpatialResNet
US_008_30W_10min,21.504782060463373,24.945102556179005,81.17842959083202,81.46868548647689,SpatialResNet
US_009_30W_10min,12.889808702362672,18.957982652963626,73.6484675891484,75.08143603768634,SpatialResNet
US_010_25W_5min,35.78750970600232,39.56084441301118,91.86414317711781,92.16012160875576,SpatialResNet
US_011_30W_5min,16.263015828522924,20.993162313324056,68.81858888347318,69.99173889200402,SpatialResNet
US_012_35W_5min,21.749115145434374,23.47301594473905,42.0886532400697,44.65919485286987,SpatialResNet
US_013_40W_5min,15.623875336589737,22.322509375379493,70.34206336149651,70.52799620553823,SpatialResNet
US_014_45W_5min,19.2792376572151,20.825753733219592,56.570001589723425,58.260556000371565,SpatialResNet
US_015_50W_5min,11.481380251284753,14.063503628594878,71.4521265587236,72.27539394468613,SpatialResNet
