fold,mae,rmse,field_mae,field_rmse,model,__source
US_001_30W_10min,48.07660789105132,55.58555922077348,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_002_30W_10min,18.666472890899367,25.083451456849076,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_003_30W_10min,18.00743452497109,21.90636350818613,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_004_30W_10min,34.32630214472293,38.50261371058749,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_005_30W_10min,30.67163614920754,37.06642882560619,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_006_30W_10min,23.563372979189623,29.26678746712091,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_007_30W_10min,21.49128322792478,25.038755493189164,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_008_30W_10min,19.54500831639703,22.582845481677207,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_009_30W_10min,21.124071145216977,23.0517598336232,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_010_25W_5min,30.308043883543945,33.77348992689999,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_011_30W_5min,17.534832878044917,21.415381061055257,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_012_35W_5min,33.700522879909656,39.32666147332926,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_013_40W_5min,20.68799782117632,26.238742230015152,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_014_45W_5min,21.08833634572184,26.17432059894723,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_015_50W_5min,26.45429318525232,32.12932301966546,,,BayesianCNNLSTM,loso_BayesianCNNLSTM_masked.csv
US_001_30W_10min,82.96683726484976,88.60208313350816,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_002_30W_10min,102.22531923005435,106.9477666422441,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_003_30W_10min,18.000798639845115,20.70477423535978,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_004_30W_10min,26.56217418783701,28.55235684645337,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_005_30W_10min,237.014421265818,240.48531258019108,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_006_30W_10min,18.294229637174045,23.35591522191212,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_007_30W_10min,91.08726292442373,115.73533185081192,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_008_30W_10min,80.74113022983606,86.73373368668759,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_009_30W_10min,21.464235051118983,27.460611534564123,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_010_25W_5min,34.968099403338904,41.265631448945086,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_011_30W_5min,23.28187640493875,29.07949722444446,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_012_35W_5min,23.92319437555336,28.62376877337261,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_013_40W_5min,13.65180972803419,16.713348451442823,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_014_45W_5min,23.37706957321778,27.681311159842604,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_015_50W_5min,39.700943311055504,46.885330326849775,,,BayesianResNet,loso_BayesianResNet_masked.csv
US_001_30W_10min,33.13166533742572,35.46687896054369,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_002_30W_10min,13.578957536955413,16.559992511410403,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_003_30W_10min,20.541278906289456,23.919046024876245,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_004_30W_10min,14.812767025408686,18.330791392082965,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_005_30W_10min,27.994315997802,30.035553737238747,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_006_30W_10min,20.32820270097617,22.653128392340943,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_007_30W_10min,28.87844799770279,32.5185740005756,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_008_30W_10min,40.17299471203231,44.32585722716146,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_009_30W_10min,33.35814343656357,38.96156100475282,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_010_25W_5min,14.602463482431055,17.410285534046377,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_011_30W_5min,25.10511858013601,31.63146338846549,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_012_35W_5min,14.970510611909395,19.72698800621551,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_013_40W_5min,19.80812057517187,23.1938507775321,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_014_45W_5min,21.17590526946661,24.8436012119174,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_015_50W_5min,27.12848924073209,29.215690308817248,,,CNNLSTM,loso_CNNLSTM_masked.csv
US_001_30W_10min,15.235504571129294,15.601765455130096,9.254086908747372,16.808180558027342,ConvLTC,loso_ConvLTC_masked.csv
US_002_30W_10min,76.57109725982754,77.74040203516363,7.663777523916676,14.350635427704413,ConvLTC,loso_ConvLTC_masked.csv
US_003_30W_10min,40.69116681141881,41.44781915069298,17.86813300575823,34.70208343918307,ConvLTC,loso_ConvLTC_masked.csv
US_004_30W_10min,79.3887397779713,79.57501699973618,14.01746652025914,26.483548278571103,ConvLTC,loso_ConvLTC_masked.csv
US_005_30W_10min,88.08692553209112,88.63101542542687,15.357553217929098,28.55344444463198,ConvLTC,loso_ConvLTC_masked.csv
US_006_30W_10min,122.83692410752948,124.08457909691418,15.897763311707424,28.980686409406616,ConvLTC,loso_ConvLTC_masked.csv
US_007_30W_10min,137.11699570823615,138.40267594190388,19.854500988034307,38.50617559557833,ConvLTC,loso_ConvLTC_masked.csv
US_008_30W_10min,128.47469262175807,130.63951859509845,23.263824754414944,45.16209456605844,ConvLTC,loso_ConvLTC_masked.csv
US_009_30W_10min,66.88486853601673,68.72231783047255,1.061875151787275,2.348625388639706,ConvLTC,loso_ConvLTC_masked.csv
US_010_25W_5min,147.55319083824548,148.456014030672,22.515044628147777,43.97241346755458,ConvLTC,loso_ConvLTC_masked.csv
US_011_30W_5min,91.84109973398392,93.1561189035569,9.679840259502049,18.20516105645825,ConvLTC,loso_ConvLTC_masked.csv
US_012_35W_5min,138.13656942554982,139.15809796522765,19.216796329079905,36.24962223510271,ConvLTC,loso_ConvLTC_masked.csv
US_013_40W_5min,90.01480958851168,91.45162573392584,9.033633982679811,16.108993696817926,ConvLTC,loso_ConvLTC_masked.csv
US_014_45W_5min,122.63833245012992,124.1481280115149,13.924422906649568,25.158305216505376,ConvLTC,loso_ConvLTC_masked.csv
US_015_50W_5min,111.70198456509992,113.26179700096716,10.074842354727105,18.613913171820187,ConvLTC,loso_ConvLTC_masked.csv
US_001_30W_10min,0.009280373874816,0.0092815513623069,0.0247122359450254,0.0875432213429318,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_002_30W_10min,54.06584311413664,55.63946659086245,0.0720206252572398,0.1078287317668997,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_003_30W_10min,26.51787783873172,28.07203537195148,0.0348798344919488,0.0770254097286989,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_004_30W_10min,25.87570161700461,26.43850928175196,0.0372020128515504,0.0744859089947612,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_005_30W_10min,25.44866471175841,27.013633160516903,0.0649478356072342,0.1339845319326867,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_006_30W_10min,59.23419052798055,61.71946192318208,0.0648694920632438,0.1419950643220582,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_007_30W_10min,64.97844092277748,66.89613076998678,0.0662417014121785,0.1378710530511385,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_008_30W_10min,59.73126302428424,61.5220833829012,0.0782595817416154,0.1460292948835828,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_009_30W_10min,65.86023050320972,67.7246586166238,0.0577824661344546,0.1103285798551837,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_010_25W_5min,56.11907991749688,58.35642818086322,0.0417876712509116,0.0915219057536285,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_011_30W_5min,52.58373271358395,54.82212179636687,0.0352910929971556,0.0858053886514158,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_012_35W_5min,62.731496596346965,64.95522583887004,0.0418582773773053,0.0894075171530185,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_013_40W_5min,54.83826985802712,57.16665157247301,0.0540027750478717,0.1074343474678135,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_014_45W_5min,67.90500040058565,70.34460751599404,0.045901371017832,0.1017628573214128,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_015_50W_5min,71.86013596759248,73.87062569879552,0.0684240308463427,0.1444275004388048,ConvectionBioheat,loso_ConvectionBioheat_masked.csv
US_001_30W_10min,42.20938235531941,47.12310284956421,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_002_30W_10min,32.29240907697123,39.42280594586615,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_003_30W_10min,34.2234176379785,38.044423801163546,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_004_30W_10min,29.057658728431253,32.92963814962164,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_005_30W_10min,25.01870858626782,29.31750805412076,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_006_30W_10min,21.17494551032622,27.633880854375267,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_007_30W_10min,17.768703110127777,21.905312721695783,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_008_30W_10min,14.83160993090288,18.413303780339696,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_009_30W_10min,15.251431053518452,18.034240574622316,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_010_25W_5min,18.568696283689327,22.569271720442835,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_011_30W_5min,121.85754478529256,125.49004945812804,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_012_35W_5min,39.95624387778405,44.27567644033819,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_013_40W_5min,27.019840829999488,32.36990345623529,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_014_45W_5min,13.533512311136665,17.88798913610218,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_015_50W_5min,28.559324111522542,34.80081969721497,,,FullBayesianResNet,loso_FullBayesianResNet_masked.csv
US_001_30W_10min,65.34822075400973,71.9758905803142,,,KANResNet,loso_KANResNet_masked.csv
US_002_30W_10min,1321.3871013113403,1322.8180569335173,,,KANResNet,loso_KANResNet_masked.csv
US_003_30W_10min,36.26431441168885,39.85464173499525,,,KANResNet,loso_KANResNet_masked.csv
US_004_30W_10min,37.128760927926194,38.95162210505852,,,KANResNet,loso_KANResNet_masked.csv
US_005_30W_10min,648.6469010728779,652.9204961385354,,,KANResNet,loso_KANResNet_masked.csv
US_006_30W_10min,6811.555091626717,6843.871298147086,,,KANResNet,loso_KANResNet_masked.csv
US_007_30W_10min,16.419855150719794,20.01571937416781,,,KANResNet,loso_KANResNet_masked.csv
US_008_30W_10min,630.0239409618412,635.9921727054416,,,KANResNet,loso_KANResNet_masked.csv
US_009_30W_10min,837.3618140902445,842.315474461812,,,KANResNet,loso_KANResNet_masked.csv
US_010_25W_5min,39.858218861093086,43.09253913867469,,,KANResNet,loso_KANResNet_masked.csv
US_011_30W_5min,33.64411548660319,38.58231292230398,,,KANResNet,loso_KANResNet_masked.csv
US_012_35W_5min,173.19776860190902,173.889753349363,,,KANResNet,loso_KANResNet_masked.csv
US_013_40W_5min,16034.026663589648,16118.697989802802,,,KANResNet,loso_KANResNet_masked.csv
US_014_45W_5min,603.8608489365487,605.8637090473862,,,KANResNet,loso_KANResNet_masked.csv
US_015_50W_5min,23091.688404852302,23320.94513455233,,,KANResNet,loso_KANResNet_masked.csv
US_001_30W_10min,52.05610537146502,59.975516481418815,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_002_30W_10min,43.23144073435318,46.81982517943537,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_003_30W_10min,45.99416645945474,48.44126294088843,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_004_30W_10min,50.832370168916256,53.32300676026401,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_005_30W_10min,48.75455170327967,55.74272166734951,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_006_30W_10min,33.52570576315045,38.23836155545394,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_007_30W_10min,20.719222246989908,27.718180476569103,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_008_30W_10min,12.786811545889645,17.309397003126428,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_009_30W_10min,15.072174535509207,21.557630742808463,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_010_25W_5min,41.38978324893532,47.35299260512875,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_011_30W_5min,39.00045965447545,42.31031024211439,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_012_35W_5min,51.688840031570834,56.682291401596,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_013_40W_5min,23.85236832381462,31.205168037483105,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_014_45W_5min,14.75941305453373,20.14175582537048,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_015_50W_5min,26.596180212142254,34.43948655377529,,,PhysicsCNNLSTM,loso_PhysicsCNNLSTM_masked.csv
US_001_30W_10min,53.8953381655688,61.67652605254879,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_002_30W_10min,39.94364002453928,43.43955989142456,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_003_30W_10min,44.87315276091087,49.46969903438531,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_004_30W_10min,46.101421096533166,47.45045779198898,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_005_30W_10min,24.2320265360907,29.2628732099454,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_006_30W_10min,19.17001833412099,24.308522157670712,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_007_30W_10min,34.09875554794193,39.008123080314526,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_008_30W_10min,11.632711269957497,15.194168245641391,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_009_30W_10min,40.93403356919576,46.30281773806843,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_010_25W_5min,35.869529164734026,39.1010956799424,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_011_30W_5min,26.3508004815553,31.075704363616616,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_012_35W_5min,33.003198760199304,39.29757165211216,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_013_40W_5min,21.36761019587464,27.13276046303815,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_014_45W_5min,22.03465971078775,27.94712021610959,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_015_50W_5min,28.032081274440888,32.66445818425826,,,PretrainedCNNLSTM,loso_PretrainedCNNLSTM_masked.csv
US_001_30W_10min,39.852331120912616,41.1141766453872,,,SimpleResNet,loso_SimpleResNet_masked.csv
