Model,RMSE (°C),MAE (°C),R² Score,Correlation,Within 1°C (%),Within 2°C (%),Within 5°C (%),Test Samples
CNNLSTM,17.914,8.415,0.662,0.840,46.0,51.1,62.6,10761
PretrainedCNNLSTM,24.781,19.592,0.353,0.594,24.4,25.5,27.9,10761
SimpleResNet,3.171,1.518,0.989,0.996,51.3,72.7,97.9,10761
PhysicsCNNLSTM,3.340,1.585,0.988,0.995,62.5,74.5,91.3,10761
BioheatPINN,1.161,0.235,0.999,0.999,97.8,99.6,99.8,10761
ConvectionBioheat,0.619,0.241,1.000,1.000,96.1,99.2,99.8,10761
MetabolicBioheat,0.835,0.212,0.999,1.000,97.6,99.6,99.9,10761
SpatialBioheat,1.890,1.242,0.996,0.999,48.9,63.5,99.8,10761
SpatialConvection,2.477,1.615,0.994,0.999,47.1,53.8,99.3,10761
SpatialMetabolic,2.009,1.027,0.996,0.999,53.4,87.2,99.7,10761
