,BayesianCNNLSTM,BayesianResNet,CNNLSTM,ConvLTC,ConvectionBioheat,FullBayesianResNet,PhysicsCNNLSTM,PretrainedCNNLSTM,SimpleResNet,SpatialResNet
BayesianCNNLSTM,1.0,0.0946044921875,0.5614013671875,0.00018310546875,0.01507568359375,0.93408203125,0.02154541015625,0.041259765625,0.97796630859375,0.207763671875
BayesianResNet,0.0946044921875,1.0,0.02154541015625,0.041259765625,0.638671875,0.22930908203125,0.45428466796875,0.42120361328125,0.05535888671875,0.00537109375
CNNLSTM,0.5614013671875,0.02154541015625,1.0,0.0001220703125,0.00152587890625,0.33026123046875,0.063720703125,0.03533935546875,0.207763671875,0.93408203125
ConvLTC,0.00018310546875,0.041259765625,0.0001220703125,1.0,6.103515625e-05,0.0006103515625,0.0006103515625,0.0008544921875,0.00018310546875,0.00018310546875
ConvectionBioheat,0.01507568359375,0.638671875,0.00152587890625,6.103515625e-05,1.0,0.083251953125,0.12054443359375,0.0301513671875,0.0042724609375,0.00836181640625
FullBayesianResNet,0.93408203125,0.22930908203125,0.33026123046875,0.0006103515625,0.083251953125,1.0,0.083251953125,0.1876220703125,0.5614013671875,0.33026123046875
PhysicsCNNLSTM,0.02154541015625,0.45428466796875,0.063720703125,0.0006103515625,0.12054443359375,0.083251953125,1.0,0.33026123046875,0.22930908203125,0.00836181640625
PretrainedCNNLSTM,0.041259765625,0.42120361328125,0.03533935546875,0.0008544921875,0.0301513671875,0.1876220703125,0.33026123046875,1.0,0.10699462890625,0.00836181640625
SimpleResNet,0.97796630859375,0.05535888671875,0.207763671875,0.00018310546875,0.0042724609375,0.5614013671875,0.22930908203125,0.10699462890625,1.0,0.42120361328125
SpatialResNet,0.207763671875,0.00537109375,0.93408203125,0.00018310546875,0.00836181640625,0.33026123046875,0.00836181640625,0.00836181640625,0.42120361328125,1.0
